oa_work_id,counts_by_year_json
https://openalex.org/W2100134167,"[{""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 1}]"
https://openalex.org/W2096081228,"[{""year"": 2024, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 2}, {""year"": 2013, ""cited_by_count"": 4}]"
https://openalex.org/W2170710952,"[{""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 3}]"
https://openalex.org/W2168420470,"[{""year"": 2024, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 2}, {""year"": 2022, ""cited_by_count"": 5}, {""year"": 2021, ""cited_by_count"": 7}, {""year"": 2020, ""cited_by_count"": 11}, {""year"": 2019, ""cited_by_count"": 7}, {""year"": 2018, ""cited_by_count"": 9}, {""year"": 2017, ""cited_by_count"": 8}, {""year"": 2016, ""cited_by_count"": 12}, {""year"": 2015, ""cited_by_count"": 8}, {""year"": 2014, ""cited_by_count"": 12}, {""year"": 2013, ""cited_by_count"": 7}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2103834654,"[{""year"": 2015, ""cited_by_count"": 1}]"
https://openalex.org/W2102111939,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 2}, {""year"": 2022, ""cited_by_count"": 3}, {""year"": 2021, ""cited_by_count"": 5}, {""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 7}, {""year"": 2018, ""cited_by_count"": 13}, {""year"": 2017, ""cited_by_count"": 11}, {""year"": 2016, ""cited_by_count"": 8}, {""year"": 2015, ""cited_by_count"": 13}, {""year"": 2014, ""cited_by_count"": 9}, {""year"": 2013, ""cited_by_count"": 14}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2142880609,"[{""year"": 2024, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 4}, {""year"": 2022, ""cited_by_count"": 6}, {""year"": 2021, ""cited_by_count"": 14}, {""year"": 2020, ""cited_by_count"": 6}, {""year"": 2019, ""cited_by_count"": 13}, {""year"": 2018, ""cited_by_count"": 10}, {""year"": 2017, ""cited_by_count"": 10}, {""year"": 2016, ""cited_by_count"": 11}, {""year"": 2015, ""cited_by_count"": 15}, {""year"": 2014, ""cited_by_count"": 17}, {""year"": 2013, ""cited_by_count"": 5}]"
https://openalex.org/W2157558673,"[{""year"": 2024, ""cited_by_count"": 5}, {""year"": 2023, ""cited_by_count"": 7}, {""year"": 2022, ""cited_by_count"": 6}, {""year"": 2021, ""cited_by_count"": 21}, {""year"": 2020, ""cited_by_count"": 26}, {""year"": 2019, ""cited_by_count"": 40}, {""year"": 2018, ""cited_by_count"": 34}, {""year"": 2017, ""cited_by_count"": 34}, {""year"": 2016, ""cited_by_count"": 21}, {""year"": 2015, ""cited_by_count"": 33}, {""year"": 2014, ""cited_by_count"": 18}, {""year"": 2013, ""cited_by_count"": 4}]"
https://openalex.org/W2099977139,"[{""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 1}, {""year"": 2012, ""cited_by_count"": 2}]"
https://openalex.org/W2099450296,"[{""year"": 2024, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2018, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 1}, {""year"": 2013, ""cited_by_count"": 3}]"
https://openalex.org/W2110097068,"[{""year"": 2025, ""cited_by_count"": 20}, {""year"": 2024, ""cited_by_count"": 54}, {""year"": 2023, ""cited_by_count"": 55}, {""year"": 2022, ""cited_by_count"": 41}, {""year"": 2021, ""cited_by_count"": 77}, {""year"": 2020, ""cited_by_count"": 84}, {""year"": 2019, ""cited_by_count"": 58}, {""year"": 2018, ""cited_by_count"": 34}, {""year"": 2017, ""cited_by_count"": 27}, {""year"": 2016, ""cited_by_count"": 16}, {""year"": 2015, ""cited_by_count"": 16}, {""year"": 2014, ""cited_by_count"": 9}, {""year"": 2013, ""cited_by_count"": 11}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2159891901,"[{""year"": 2022, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 1}]"
https://openalex.org/W2123000508,"[{""year"": 2023, ""cited_by_count"": 1}, {""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 7}, {""year"": 2020, ""cited_by_count"": 6}, {""year"": 2019, ""cited_by_count"": 13}, {""year"": 2018, ""cited_by_count"": 4}, {""year"": 2017, ""cited_by_count"": 3}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 2}, {""year"": 2014, ""cited_by_count"": 2}, {""year"": 2013, ""cited_by_count"": 4}]"
https://openalex.org/W2160056768,[]
https://openalex.org/W2154201996,"[{""year"": 2023, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 2}, {""year"": 2018, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 3}, {""year"": 2013, ""cited_by_count"": 7}]"
https://openalex.org/W2098009537,"[{""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 1}, {""year"": 2014, ""cited_by_count"": 4}]"
https://openalex.org/W2112008717,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2024, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 2}, {""year"": 2019, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 5}, {""year"": 2016, ""cited_by_count"": 6}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 8}, {""year"": 2013, ""cited_by_count"": 3}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2145721327,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2024, ""cited_by_count"": 4}, {""year"": 2023, ""cited_by_count"": 2}, {""year"": 2022, ""cited_by_count"": 3}, {""year"": 2021, ""cited_by_count"": 12}, {""year"": 2020, ""cited_by_count"": 8}, {""year"": 2019, ""cited_by_count"": 11}, {""year"": 2018, ""cited_by_count"": 15}, {""year"": 2017, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 11}, {""year"": 2015, ""cited_by_count"": 4}, {""year"": 2014, ""cited_by_count"": 5}, {""year"": 2013, ""cited_by_count"": 2}]"
