topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share_t
Reinforcement Learning in Robotics,2018,59,208,32.0,141.0,0.047976011994003,0.2907801418439716,5.602836879432624,0.7975115634259465,0.994348099125646,0.2104488360266141,6.0,1.9459101490553128,0.135593220338983,0.0592369477911646
Reinforcement Learning in Robotics,2019,89,352,59.0,208.0,0.0592369477911646,0.2067307692307692,3.4903846153846154,0.9413329387033368,1.0,0.0584531001549115,6.0,1.9459101490553128,0.0898876404494382,0.0628087508821453
Reinforcement Learning in Robotics,2020,131,490,89.0,352.0,0.0628087508821453,0.2585227272727273,5.1875,0.9257601187378588,0.9867588066002688,0.0999632006134723,5.0,1.791759469228055,0.099236641221374,0.0694223635400105
Reinforcement Learning in Robotics,2021,170,676,131.0,490.0,0.0694223635400105,0.310204081632653,4.587755102040816,0.9320964492786704,0.9807192898603444,0.0621587618480377,1.0,0.6931471805599453,0.1294117647058823,0.0738809213385484
Reinforcement Learning in Robotics,2022,176,753,170.0,676.0,0.0738809213385484,0.2973372781065089,5.8609467455621305,0.935808418490754,0.9890205459772552,-0.1549139048211074,0.0,0.0,0.0284090909090909,0.0632638389647735
Reinforcement Learning in Robotics,2023,170,790,176.0,753.0,0.0632638389647735,0.2377158034528552,5.256308100929615,0.9609648041480756,0.999314551306057,-0.2612317026627591,0.0,0.0,0.0411764705882352,0.048696648524778
Sparse and Compressive Sensing Techniques,2014,44,128,36.0,92.0,0.1022727272727272,0.25,2.347826086956522,0.9239535393381548,1.0,0.067785701628741,4.0,1.6094379124341005,0.0681818181818181,0.1094527363184079
Sparse and Compressive Sensing Techniques,2015,38,97,44.0,128.0,0.1094527363184079,0.203125,2.828125,0.9413226962654644,0.9675405742821472,-0.1238405405950375,3.0,1.3862943611198906,0.0789473684210526,0.0966921119592875
Sparse and Compressive Sensing Techniques,2016,53,140,38.0,97.0,0.0966921119592875,0.268041237113402,2.1030927835051547,0.94499822000712,1.0,-0.0213990481725412,3.0,1.3862943611198906,0.0754716981132075,0.0946428571428571
Sparse and Compressive Sensing Techniques,2017,39,114,53.0,140.0,0.0946428571428571,0.1642857142857142,2.4,0.9556517036235804,0.9708454810495628,-0.4809307799824989,2.0,1.0986122886681096,0.0,0.0584707646176911
Sparse and Compressive Sensing Techniques,2018,40,118,39.0,114.0,0.0584707646176911,0.2543859649122807,2.56140350877193,0.9437734277384424,1.0,-0.374861294185306,2.0,1.0986122886681096,0.0,0.0401606425702811
Sparse and Compressive Sensing Techniques,2019,61,179,40.0,118.0,0.0401606425702811,0.211864406779661,2.915254237288136,0.9339589517699256,1.0,0.0692777798072441,3.0,1.3862943611198906,0.0327868852459016,0.0430486944248412
Sparse and Compressive Sensing Techniques,2020,53,166,61.0,179.0,0.0430486944248412,0.3351955307262569,2.670391061452514,0.9579946724950482,0.9915014164305948,-0.4257944590204157,2.0,1.0986122886681096,0.0566037735849056,0.0280869104398516
Sparse and Compressive Sensing Techniques,2021,52,174,53.0,166.0,0.0280869104398516,0.4156626506024096,2.6867469879518078,0.9611286848182578,1.0,-0.216542555383187,1.0,0.6931471805599453,0.0,0.0225988700564971
Sparse and Compressive Sensing Techniques,2022,41,144,52.0,174.0,0.0225988700564971,0.2758620689655172,2.9080459770114944,0.9633332812573232,1.0,-0.4251507239314258,0.0,0.0,0.073170731707317,0.0147375988497483
Sparse and Compressive Sensing Techniques,2023,48,176,41.0,144.0,0.0147375988497483,0.3333333333333333,3.888888888888889,0.8950605038682802,1.0,-0.0689050427379669,0.0,0.0,0.0208333333333333,0.0137496419364079
Statistical Methods and Inference,2020,30,101,28.0,77.0,0.0197600564573041,0.3506493506493506,2.25974025974026,0.936187078874356,1.0,-0.2162310855884452,1.5,0.9162907318741552,0.0,0.0158982511923688
Statistical Methods and Inference,2023,35,120,29.0,107.0,0.0104241552839683,0.3177570093457944,3.177570093457944,0.9403460207612456,1.0,-0.0385884140855798,0.0,0.0,0.0,0.0100257805786307
Stochastic Gradient Optimization Techniques,2017,34,102,21.0,72.0,0.0375,0.2638888888888889,3.7222222222222223,0.8526748971193415,0.979020979020979,0.3062815502452611,4.5,1.7047480922384253,0.1470588235294117,0.0509745127436281
Stochastic Gradient Optimization Techniques,2018,59,180,34.0,102.0,0.0509745127436281,0.2647058823529412,2.9019607843137254,0.9275908951361784,1.0,0.1499465769560677,7.0,2.079441541679836,0.1186440677966101,0.0592369477911646
Stochastic Gradient Optimization Techniques,2019,72,234,59.0,180.0,0.0592369477911646,0.3388888888888889,3.4444444444444446,0.943425696782831,0.988148538319726,-0.153141897818271,6.0,1.9459101490553128,0.125,0.0508115737473535
Stochastic Gradient Optimization Techniques,2020,58,195,72.0,234.0,0.0508115737473535,0.358974358974359,3.358974358974359,0.9569429771444768,1.0,-0.5013873683546484,5.5,1.8718021769015916,0.0862068965517241,0.030736618971913
Stochastic Gradient Optimization Techniques,2021,88,289,58.0,195.0,0.030736618971913,0.4358974358974359,3.476923076923077,0.9213595186587344,0.9996989312057806,0.2179014521572213,0.5,0.4054651081081644,0.034090909090909,0.0382442416340721
Stochastic Gradient Optimization Techniques,2022,108,381,88.0,289.0,0.0382442416340721,0.3114186851211072,3.4948096885813147,0.9648956747191244,0.9847718805941266,0.0149293839566704,0.0,0.0,0.0092592592592592,0.0388209920920201
Stochastic Gradient Optimization Techniques,2023,80,283,108.0,381.0,0.0388209920920201,0.3070866141732283,4.125984251968504,0.9680058584379182,0.9942388690754757,-0.5253410845359032,0.0,0.0,0.0,0.0229160698940131
Topic Modeling,2019,32,118,30.0,119.0,0.0301204819277108,0.2605042016806723,4.26890756302521,0.9157396449704144,1.0,-0.2869076122349758,7.5,2.1400661634962708,0.25,0.0225829216654904
Topic Modeling,2020,49,280,32.0,118.0,0.0225829216654904,0.2966101694915254,3.983050847457627,0.9251607062019012,1.0,0.1390633641432579,9.0,2.302585092994046,0.3469387755102041,0.0259671436142024
Topic Modeling,2021,49,222,49.0,280.0,0.0259671436142024,0.1892857142857142,8.142857142857142,0.8162588488765774,1.0,-0.1975142419392499,2.0,1.0986122886681096,0.2040816326530612,0.0212950890916992
Topic Modeling,2022,96,610,49.0,222.0,0.0212950890916992,0.2162162162162162,5.0,0.937871925980034,1.0,0.4809104097707601,5.0,1.791759469228055,0.4166666666666667,0.0345075485262401
Topic Modeling,2023,185,1073,96.0,610.0,0.0345075485262401,0.1885245901639344,13.760655737704916,0.7846218741794614,0.990062696412122,0.4279810220162914,5.0,1.791759469228055,0.4324324324324324,0.0529934116299054
