topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Bayesian Modeling and Causal Inference,2018,33,106,17,52,0.02564102564102564,0.2692307692307692,2.576923076923077,0.8968589886388952,0.0,0.25845070149227034,2.0,1.0986122886681096,0.030303030303030304,0.03323262839879154,0.24528301886792453,3.169811320754717,0.9234693877551017,1.0,3.3333333333333335,5.0,0.6050505050505051
Bayesian Modeling and Causal Inference,2019,28,83,33,106,0.03323262839879154,0.24528301886792453,3.169811320754717,0.9234693877551017,1.0,-0.5136042807455725,1.5,0.9162907318741551,0.03571428571428571,0.019844082211197732,0.3132530120481928,2.7710843373493974,0.9233691284973335,0.9553072625698324,3.1785714285714284,3.5,0.621012482662968
Bayesian Modeling and Causal Inference,2020,43,140,28,83,0.019844082211197732,0.3132530120481928,2.7710843373493974,0.9233691284973335,0.9553072625698324,0.1434790981114471,3.0,1.3862943611198906,0.023255813953488372,0.022921108742004266,0.32857142857142857,3.2714285714285714,0.9489371027832566,1.0,3.604651162790698,4.0,0.5129568106312292
Bayesian Modeling and Causal Inference,2021,45,146,43,140,0.022921108742004266,0.32857142857142857,3.2714285714285714,0.9489371027832566,1.0,-0.15105017166164458,0.0,0.0,0.0,0.019693654266958426,0.273972602739726,3.4383561643835616,0.950694068866054,1.0,3.511111111111111,2.0,0.6703703703703704
Bayesian Modeling and Causal Inference,2022,36,132,45,146,0.019693654266958426,0.273972602739726,3.4383561643835616,0.950694068866054,1.0,-0.20033910994026494,1.0,0.6931471805599453,0.0,0.016100178890876567,0.2803030303030303,3.621212121212121,0.9283333333333333,1.0,3.8333333333333335,2.0,0.5603864734299517
Bayesian Modeling and Causal Inference,2023,56,198,36,132,0.016100178890876567,0.2803030303030303,3.621212121212121,0.9283333333333333,1.0,0.2239048711692675,0.0,0.0,0.0,0.020165646380986675,0.31313131313131315,3.7676767676767677,0.929026299333712,1.0,3.6964285714285716,1.0,0.729978354978355
Bayesian Modeling and Causal Inference,2024,22,94,56,198,0.020165646380986675,0.31313131313131315,3.7676767676767677,0.929026299333712,1.0,-0.626932642859451,0.0,0.0,0.0,0.010726474890297415,0.1702127659574468,4.0212765957446805,0.9100529100529099,0.0,4.2727272727272725,,0.6742424242424242
Domain Adaptation and Few-Shot Learning,2017,23,87,17,66,0.030575539568345324,0.18181818181818182,3.3636363636363638,0.9096664231799367,0.0,0.12588738638930552,13.0,2.639057329615259,0.30434782608695654,0.03469079939668175,0.27586206896551724,3.7241379310344827,0.896890717878372,1.0,3.869565217391304,31.0,0.6144828609585992
Domain Adaptation and Few-Shot Learning,2018,48,205,23,87,0.03469079939668175,0.27586206896551724,3.7241379310344827,0.896890717878372,1.0,0.33093927225654163,13.0,2.639057329615259,0.2708333333333333,0.04833836858006042,0.16097560975609757,4.614634146341463,0.947543402777778,0.996823716251985,4.541666666666667,34.5,0.5475610920198549
Domain Adaptation and Few-Shot Learning,2019,63,284,48,205,0.04833836858006042,0.16097560975609757,4.614634146341463,0.947543402777778,0.996823716251985,-0.07921900721802944,7.0,2.0794415416798357,0.15873015873015872,0.0446491849751949,0.2640845070422535,4.704225352112676,0.9537135219425258,1.0,4.634920634920635,18.0,0.5410595656785575
Domain Adaptation and Few-Shot Learning,2020,127,523,63,284,0.0446491849751949,0.2640845070422535,4.704225352112676,0.9537135219425258,1.0,0.41544807958315655,6.0,1.9459101490553132,0.1889763779527559,0.06769722814498934,0.28489483747609945,4.409177820267686,0.9707075561480436,0.999656652360515,4.3858267716535435,10.0,0.7674552833673569
Domain Adaptation and Few-Shot Learning,2021,166,688,127,523,0.06769722814498934,0.28489483747609945,4.409177820267686,0.9707075561480436,0.999656652360515,0.07047601222518685,2.0,1.0986122886681096,0.1746987951807229,0.07264770240700219,0.32848837209302323,4.261627906976744,0.981087838223463,1.0,4.379518072289157,5.0,0.6863018576770135
Domain Adaptation and Few-Shot Learning,2022,154,718,166,688,0.07264770240700219,0.32848837209302323,4.261627906976744,0.981087838223463,1.0,-0.053282381403193746,2.0,1.0986122886681096,0.07792207792207792,0.06887298747763863,0.2799442896935933,4.805013927576602,0.9847591058675439,1.0,4.818181818181818,5.0,0.5829236878823656
Domain Adaptation and Few-Shot Learning,2023,145,711,154,718,0.06887298747763863,0.2799442896935933,4.805013927576602,0.9847591058675439,1.0,-0.27643906721014755,1.0,0.6931471805599453,0.05517241379310345,0.052214620093626214,0.31926863572433195,5.246132208157524,0.9821239257024509,0.9990467173495273,5.117241379310345,2.0,0.6580240671453129
Explainable Artificial Intelligence (XAI),2020,35,166,19,73,0.013465627214741318,0.273972602739726,3.26027397260274,0.9225337193701011,0.0,0.324012714463044,4.0,1.6094379124341003,0.05714285714285714,0.018656716417910446,0.2289156626506024,6.072289156626506,0.8590325018896445,1.0,4.8,11.0,0.48614393125671324
Explainable Artificial Intelligence (XAI),2021,41,166,35,166,0.018656716417910446,0.2289156626506024,6.072289156626506,0.8590325018896445,1.0,-0.038788156795076745,1.0,0.6931471805599453,0.0975609756097561,0.017943107221006564,0.27710843373493976,3.7228915662650603,0.9594557823129253,1.0,4.170731707317073,3.0,0.7234461054287962
Explainable Artificial Intelligence (XAI),2022,52,233,41,166,0.017943107221006564,0.27710843373493976,3.7228915662650603,0.9594557823129253,1.0,0.2580822042706745,2.0,1.0986122886681096,0.11538461538461539,0.023255813953488372,0.3090128755364807,5.167381974248927,0.9110803407073379,1.0,4.673076923076923,4.5,0.6364992150706437
Explainable Artificial Intelligence (XAI),2023,72,372,52,233,0.023255813953488372,0.3090128755364807,5.167381974248927,0.9110803407073379,1.0,0.1082984914900571,1.0,0.6931471805599453,0.09722222222222222,0.025927259632697156,0.22311827956989247,8.89247311827957,0.7635600232254318,1.0,5.263888888888889,2.0,0.8515571526351814
Face and Expression Recognition,2024,22,95,18,91,0.006481814908174289,0.2857142857142857,6.131868131868132,0.7666204185454966,1.0,0.4976839839175442,0.0,0.0,0.0,0.010726474890297415,0.21052631578947367,4.631578947368421,0.8399999999999995,0.0,4.318181818181818,,0.8140495867768595
Gaussian Processes and Bayesian Inference,2014,20,56,15,45,0.042735042735042736,0.15555555555555556,2.488888888888889,0.9085872576177283,1.0,0.16166704674267462,3.5,1.5040773967762742,0.1,0.05025125628140704,0.16071428571428573,2.5714285714285716,0.8827160493827161,1.0,3.0,6.5,0.4875
Gaussian Processes and Bayesian Inference,2015,28,84,20,56,0.05025125628140704,0.16071428571428573,2.5714285714285716,0.8827160493827161,1.0,0.3690669405980582,3.5,1.5040773967762742,0.03571428571428571,0.07272727272727272,0.27380952380952384,2.880952380952381,0.9170138651731439,1.0,3.25,7.5,0.4794713160854893
Gaussian Processes and Bayesian Inference,2016,20,60,28,84,0.07272727272727272,0.27380952380952384,2.880952380952381,0.9170138651731439,1.0,-0.7025951091904035,4.5,1.7047480922384253,0.15,0.03597122302158273,0.26666666666666666,2.433333333333333,0.9164946519046723,1.0,3.1,10.5,0.5641843971631205
Gaussian Processes and Bayesian Inference,2017,32,100,20,60,0.03597122302158273,0.26666666666666666,2.433333333333333,0.9164946519046723,1.0,0.29329052199071937,2.5,1.252762968495368,0.0625,0.048265460030165915,0.29,2.84,0.9197579845268798,1.0,3.21875,6.0,0.6676432291666666
