topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Explainable Artificial Intelligence (XAI),2022,58,256,0.017818339852238158,0.27710843373493976,3.7228915662650603,0.9594557823129252,1.0,0.1562332408868472,2.0,1.0986122886681096,0.15517241379310345,0.020848310567936738,0.3046875,5.0625,0.920582963227822,1.0,4.603448275862069,3.5,0.6701710120549481
Explainable Artificial Intelligence (XAI),2023,97,497,0.020848310567936738,0.3046875,5.0625,0.920582963227822,1.0,0.28605725669240867,0.0,0.0,0.09278350515463918,0.027785734746490976,0.21327967806841047,7.875251509054326,0.8292156811351313,1.0,5.195876288659794,1.0,0.8868504102671997
Face and Expression Recognition,2022,28,133,0.00651890482398957,0.3148148148148148,3.2962962962962963,0.8463577831081934,0.0,0.4289911744588917,0.0,0.0,0.07142857142857142,0.010064701653486701,0.19548872180451127,4.556390977443609,0.9332418390353887,0.0,4.75,0.0,0.7967532467532468
Face and Expression Recognition,2023,43,212,0.010064701653486701,0.19548872180451127,4.556390977443609,0.9332418390353887,0.0,0.200176617363101,0.0,0.0,0.023255813953488372,0.012317387568032082,0.23113207547169812,5.386792452830188,0.925558442036431,1.0,4.976744186046512,0.0,0.8517441860465116
Gaussian Processes and Bayesian Inference,2014,21,60,0.04261363636363636,0.15555555555555556,2.488888888888889,0.9085872576177284,1.0,0.20321986186016483,4.0,1.6094379124341003,0.09523809523809523,0.05223880597014925,0.18333333333333332,2.6,0.8941485864562787,1.0,3.0476190476190474,7.0,0.4983164983164983
Gaussian Processes and Bayesian Inference,2015,28,84,0.05223880597014925,0.18333333333333332,2.6,0.8941485864562787,1.0,0.309814680740121,4.0,1.6094379124341003,0.03571428571428571,0.07124681933842239,0.27380952380952384,2.880952380952381,0.917013865173144,1.0,3.25,8.0,0.47464558342420937
Gaussian Processes and Bayesian Inference,2016,21,62,0.07124681933842239,0.27380952380952384,2.880952380952381,0.917013865173144,1.0,-0.6405487142351403,5.0,1.791759469228055,0.14285714285714285,0.0375,0.25806451612903225,2.3870967741935485,0.9185536888239592,1.0,3.0476190476190474,13.0,0.5506149479659413
Gaussian Processes and Bayesian Inference,2017,32,100,0.0375,0.25806451612903225,2.3870967741935485,0.9185536888239592,1.0,0.24577929117471475,2.5,1.252762968495368,0.0625,0.047976011994003,0.29,2.84,0.9197579845268796,1.0,3.21875,6.0,0.6692033678756477
Gaussian Processes and Bayesian Inference,2018,35,117,0.047976011994003,0.29,2.84,0.9197579845268796,1.0,-0.3105855857775359,4.0,1.6094379124341003,0.02857142857142857,0.035140562248995984,0.2564102564102564,3.3846153846153846,0.9333,0.9910233393177738,3.5714285714285716,9.0,0.5005042016806722
Gaussian Processes and Bayesian Inference,2019,36,141,0.035140562248995984,0.2564102564102564,3.3846153846153846,0.9333,0.9910233393177738,-0.32329239315215785,3.0,1.3862943611198906,0.05555555555555555,0.025405786873676783,0.2553191489361702,4.127659574468085,0.9264652047094389,1.0,4.111111111111111,6.5,0.6861009361009361
